selector,episode_id,scene_id,goal,failure_reason,taxonomy,evidence,metric_steps,metric_sr,metric_spl,logged_step_rows,has_final_decision,has_raw_found,final_decision_steps,zero_frontier_steps,invalid_coord_steps,last_logged_step,last_raw_model_output,last_frontier_count,last_selected_len,same_taxonomy_all_selectors
recent_k,4029,00876-mv2HUxq3B53,flower vase,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,603,0,0.0,12,False,False,[],0,0,560,"<coordinate>[5.54, 0.44]</coordinate>",7,50,True
recent_k,568,00843-DYehNKdT76V,mirror,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,669,0,0.0,10,False,False,[],0,0,589,"<coordinate>[0.25, -7.20]</coordinate>",2,50,True
recent_k,270,00839-zt1RVoi7PcG,pillow,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,546,0,0.0,10,True,True,[546],1,1,546,found,0,50,True
recent_k,2750,00800-TEEsavR23oF,microwave,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,633,0,0.0,12,False,False,[],0,0,602,"<coordinate>[-2.65, 2.80]</coordinate>",3,50,True
recent_k,2119,00861-GLAQ4DNUx5U,mirror,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,647,0,0.0,11,False,False,[],0,0,607,"<coordinate>[3.80, 0.50]</coordinate>",2,50,True
recent_k,3012,00862-LT9Jq6dN3Ea,stair,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,601,0,0.0,10,False,False,[],0,0,510,"<coordinate>[5.14, -11.00]</coordinate>",2,50,True
recent_k,6971,00808-y9hTuugGdiq,rug,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,642,0,0.0,11,False,False,[],0,0,602,"<coordinate>[2.31, -3.24]</coordinate>",5,50,True
recent_k,5583,00877-4ok3usBNeis,dishwasher,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,301,0,0.0,8,True,True,[301],1,1,301,found,0,40,True
recent_k,4434,00824-Dd4bFSTQ8gi,dishwasher,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,638,0,0.0,11,False,False,[],0,0,599,"<coordinate>[4.01, -0.02]</coordinate>",10,50,True
recent_k,3448,00827-BAbdmeyTvMZ,dishwasher,path_planning_failed,controller_planner,failure reason is path_planning_failed,405,0,0.0,8,False,False,[],0,0,405,"<coordinate>[-1.57, -2.90]</coordinate>",1,40,True
recent_k,1966,00891-cvZr5TUy5C5,stair,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,640,0,0.0,13,False,False,[],0,0,583,"<coordinate>[7.68, -1.01]</coordinate>",5,50,True
recent_k,5457,00802-wcojb4TFT35,microwave,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,301,0,0.0,6,True,True,[301],1,1,301,found,0,30,True
recent_k,6448,00814-p53SfW6mjZe,bedframe,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,396,0,0.0,9,True,True,[396],1,1,396,found,0,45,True
recent_k,291,00849-a8BtkwhxdRV,mirror,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,365,0,0.0,11,True,True,[365],1,1,365,found,0,50,True
recent_k,6168,00853-5cdEh9F2hJL,plant,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,616,0,0.0,14,False,False,[],0,0,542,"<coordinate>[3.90, -10.28]</coordinate>",9,50,True
recent_k,3891,00821-eF36g7L6Z9M,carpet,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,694,0,0.0,12,False,False,[],0,0,597,"<coordinate>[8.44, 5.80]</coordinate>",6,50,True
recent_k,5535,00873-bxsVRursffK,refrigerator,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,227,0,0.0,6,True,True,[227],1,1,227,found,0,30,True
recent_k,5409,00808-y9hTuugGdiq,refrigerator,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,626,0,0.0,10,False,False,[],0,0,591,"<coordinate>[2.73, -0.90]</coordinate>",6,50,True
recent_k,3644,00824-Dd4bFSTQ8gi,refrigerator,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,690,0,0.0,11,False,False,[],0,0,606,"<coordinate>[8.99, -8.29]</coordinate>",5,50,True
recent_k,3195,00810-CrMo8WxCyVb,microwave,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,559,0,0.0,11,True,True,[559],1,1,559,found,0,50,True
recent_k,934,00890-6s7QHgap2fW,plant,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,714,0,0.0,14,False,False,[],0,0,575,"<coordinate>[3.05, -20.22]</coordinate>",7,50,True
recent_k,4328,00814-p53SfW6mjZe,microwave,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,175,0,0.0,7,True,True,[175],1,1,175,found,0,35,True
recent_k,614,00835-q3zU7Yy5E5s,picture,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,445,0,0.0,12,True,True,[445],1,1,445,found,0,50,True
recent_k,1723,00821-eF36g7L6Z9M,pillow,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,638,0,0.0,9,False,False,[],0,0,572,"<coordinate>[7.59, -2.33]</coordinate>",9,45,True
recent_k,1190,00815-h1zeeAwLh9Z,pillow,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,646,0,0.0,11,False,False,[],0,0,578,"<coordinate>[10.96, -6.83]</coordinate>",2,50,True
recent_k,3078,00873-bxsVRursffK,pillow,not_reached_goal,terminal_found_false_positive_or_goal_check_mismatch,raw output includes found/final decision but episode sr=0,391,0,0.0,13,True,True,[391],1,1,391,found,0,50,True
recent_k,1753,00831-yr17PDCnDDW,vase,not_reached_goal,search_or_grounding_no_terminal_found,continued coordinate/frontier choices without terminal found before failure,636,0,0.0,9,False,False,[],0,0,546,"<coordinate>[5.44, -11.45]</coordinate>",4,45,True
